tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0328880,movie,Brother Bear,Brother Bear,0,2003,\N,85,"Adventure,Animation,Comedy",6.8,97948
tt0480242,movie,Dan in Real Life,Dan in Real Life,0,2007,\N,98,"Comedy,Drama,Romance",6.7,97918
tt0758766,movie,Music and Lyrics,Music and Lyrics,0,2007,\N,104,"Comedy,Music,Romance",6.5,97894
tt0110622,movie,Naked Gun 33 1/3: The Final Insult,Naked Gun 33 1/3: The Final Insult,0,1994,\N,83,"Comedy,Crime",6.5,97848
tt0889573,movie,The Switch,The Switch,0,2010,\N,101,"Comedy,Drama,Romance",6.1,97782
tt0044706,movie,High Noon,High Noon,0,1952,\N,85,"Drama,Thriller,Western",7.9,97675
tt0055614,movie,West Side Story,West Side Story,0,1961,\N,153,"Crime,Drama,Musical",7.5,97667
tt1144884,movie,The Final Destination,The Final Destination,0,2009,\N,82,"Action,Fantasy,Horror",5.2,97573
tt1614989,movie,Jo Nesbø's Headhunters,Hodejegerne,0,2011,\N,96,"Action,Crime,Thriller",7.5,97387
tt0050986,movie,Wild Strawberries,Smultronstället,0,1957,\N,91,"Drama,Romance",8.2,97340
tt0118615,movie,Anaconda,Anaconda,0,1997,\N,89,"Action,Adventure,Horror",4.8,97318
tt0230030,movie,Bedazzled,Bedazzled,0,2000,\N,93,"Comedy,Fantasy",6.0,97288
tt0292963,movie,Before the Devil Knows You're Dead,Before the Devil Knows You're Dead,0,2007,\N,117,"Crime,Drama,Thriller",7.3,97276
tt0070034,movie,Enter the Dragon,Enter the Dragon,0,1973,\N,102,"Action,Crime,Drama",7.7,97239
tt0066995,movie,Diamonds Are Forever,Diamonds Are Forever,0,1971,\N,120,"Action,Adventure,Thriller",6.6,97196
tt0404390,movie,Running Scared,Running Scared,0,2006,\N,122,"Action,Crime,Drama",7.4,97113
tt0318462,movie,The Motorcycle Diaries,Diarios de motocicleta,0,2004,\N,126,"Adventure,Biography,Drama",7.8,97069
tt1240982,movie,Your Highness,Your Highness,0,2011,\N,102,"Adventure,Comedy,Fantasy",5.5,96788
tt2193215,movie,The Counselor,The Counselor,0,2013,\N,117,"Crime,Drama,Thriller",5.3,96731
tt0071807,movie,The Man with the Golden Gun,The Man with the Golden Gun,0,1974,\N,125,"Action,Adventure,Thriller",6.8,96609
tt0098439,movie,Tango & Cash,Tango & Cash,0,1989,\N,104,"Action,Comedy,Crime",6.4,96533
tt2170593,movie,St. Vincent,St. Vincent,0,2014,\N,102,"Comedy,Drama",7.2,96496
tt5649144,movie,The Florida Project,The Florida Project,0,2017,\N,111,Drama,7.6,96482
tt0104348,movie,Glengarry Glen Ross,Glengarry Glen Ross,0,1992,\N,100,"Crime,Drama,Mystery",7.7,96363
tt0247745,movie,Super Troopers,Super Troopers,0,2001,\N,100,"Comedy,Crime,Mystery",7.1,96320
tt0120873,movie,U.S. Marshals,U.S. Marshals,0,1998,\N,131,"Action,Crime,Thriller",6.6,96259
tt1023111,movie,Never Back Down,Never Back Down,0,2008,\N,113,"Action,Drama,Sport",6.6,96231
tt0086034,movie,Octopussy,Octopussy,0,1983,\N,131,"Action,Adventure,Thriller",6.6,96195
tt2548396,movie,The Cloverfield Paradox,The Cloverfield Paradox,0,2018,\N,102,"Action,Horror,Sci-Fi",5.5,96162
tt1216492,movie,Leap Year,Leap Year,0,2010,\N,100,"Comedy,Romance",6.5,96056
tt1839492,movie,Ruby Sparks,Ruby Sparks,0,2012,\N,104,"Comedy,Drama,Fantasy",7.2,96046
tt7395114,movie,The Devil All the Time,The Devil All the Time,0,2020,\N,138,"Crime,Drama,Thriller",7.1,96024
tt2139881,movie,Long Shot,Long Shot,0,2019,\N,125,"Comedy,Romance",6.8,95944
tt1981128,movie,Geostorm,Geostorm,0,2017,\N,109,"Action,Sci-Fi,Thriller",5.3,95817
tt1618442,movie,The Last Witch Hunter,The Last Witch Hunter,0,2015,\N,106,"Action,Adventure,Fantasy",6.0,95778
tt3622592,movie,Paper Towns,Paper Towns,0,2015,\N,109,"Adventure,Comedy,Drama",6.3,95771
tt0209958,movie,The Cell,The Cell,0,2000,\N,107,"Horror,Sci-Fi,Thriller",6.4,95765
tt0816462,movie,Conan the Barbarian,Conan the Barbarian,0,2011,\N,113,"Action,Adventure,Fantasy",5.2,95563
tt0097742,movie,Licence to Kill,Licence to Kill,0,1989,\N,133,"Action,Adventure,Thriller",6.6,95536
tt1791528,movie,Inherent Vice,Inherent Vice,0,2014,\N,148,"Comedy,Crime,Drama",6.7,95431
tt2400463,movie,The Invitation,The Invitation,0,2015,\N,100,"Drama,Mystery,Thriller",6.6,95409
tt0083929,movie,Fast Times at Ridgemont High,Fast Times at Ridgemont High,0,1982,\N,90,"Comedy,Drama",7.2,95322
tt0441909,movie,Volver,Volver,0,2006,\N,121,"Comedy,Drama",7.6,95308
tt0093389,movie,The Last Emperor,The Last Emperor,0,1987,\N,163,"Biography,Drama,History",7.7,95058
tt0452637,movie,Lady in the Water,Lady in the Water,0,2006,\N,110,"Drama,Fantasy,Mystery",5.5,95049
tt2241351,movie,Money Monster,Money Monster,0,2016,\N,98,"Crime,Drama,Mystery",6.5,94989
tt1489887,movie,Booksmart,Booksmart,0,2019,\N,102,Comedy,7.2,94970
tt1623288,movie,ParaNorman,ParaNorman,0,2012,\N,92,"Adventure,Animation,Comedy",7.0,94939
tt1592525,movie,Lockout,Lockout,0,2012,\N,95,"Action,Sci-Fi,Thriller",6.1,94892
tt1259528,movie,Den of Thieves,Den of Thieves,0,2018,\N,140,"Action,Crime,Drama",7.0,94849
tt1622547,movie,30 Minutes or Less,30 Minutes or Less,0,2011,\N,83,"Action,Comedy,Crime",6.1,94836
tt2567026,movie,Alice Through the Looking Glass,Alice Through the Looking Glass,0,2016,\N,113,"Adventure,Family,Fantasy",6.2,94824
tt1657507,movie,Colombiana,Colombiana,0,2011,\N,108,"Action,Drama,Thriller",6.4,94812
tt0098084,movie,Pet Sematary,Pet Sematary,0,1989,\N,103,"Fantasy,Horror,Thriller",6.6,94800
tt0452702,movie,Vacancy,Vacancy,0,2007,\N,85,"Horror,Thriller",6.2,94733
tt0025316,movie,It Happened One Night,It Happened One Night,0,1934,\N,105,"Comedy,Romance",8.1,94721
tt1502404,movie,Drive Angry,Drive Angry,0,2011,\N,104,"Action,Fantasy,Thriller",5.4,94662
tt1195478,movie,The Five-Year Engagement,The Five-Year Engagement,0,2012,\N,124,"Comedy,Romance",6.2,94629
tt0065421,movie,The Aristocats,The AristoCats,0,1970,\N,78,"Adventure,Animation,Comedy",7.1,94602
tt2431286,movie,Philomena,Philomena,0,2013,\N,98,"Biography,Comedy,Drama",7.6,94518
tt0104694,movie,A League of Their Own,A League of Their Own,0,1992,\N,128,"Comedy,Drama,Sport",7.3,94475
tt0349205,movie,Cheaper by the Dozen,Cheaper by the Dozen,0,2003,\N,98,"Comedy,Family",5.9,94443
tt0080120,movie,The Warriors,The Warriors,0,1979,\N,92,"Action,Crime,Thriller",7.6,94429
tt3195644,movie,Insidious: Chapter 3,Insidious: Chapter 3,0,2015,\N,97,"Horror,Mystery,Thriller",6.1,94420
tt0433383,movie,"Good Night, and Good Luck.","Good Night, and Good Luck.",0,2005,\N,93,"Biography,Drama,History",7.4,94372
tt0406375,movie,Zathura: A Space Adventure,Zathura: A Space Adventure,0,2005,\N,101,"Action,Adventure,Comedy",6.2,94337
tt0288477,movie,Ghost Ship,Ghost Ship,0,2002,\N,91,Horror,5.5,94324
tt0116705,movie,Jingle All the Way,Jingle All the Way,0,1996,\N,89,"Adventure,Comedy,Family",5.7,94270
tt0120907,movie,eXistenZ,eXistenZ,0,1999,\N,97,"Horror,Sci-Fi,Thriller",6.8,94244
tt0118883,movie,Conspiracy Theory,Conspiracy Theory,0,1997,\N,135,"Action,Mystery,Thriller",6.7,94230
tt1397514,movie,Journey 2: The Mysterious Island,Journey 2: The Mysterious Island,0,2012,\N,94,"Action,Adventure,Family",5.8,94215
tt0066206,movie,Patton,Patton,0,1970,\N,172,"Biography,Drama,War",7.9,94087
tt0248667,movie,Ali,Ali,0,2001,\N,157,"Biography,Drama,Sport",6.8,94057
tt2357129,movie,Jobs,Jobs,0,2013,\N,128,"Biography,Drama",5.9,93989
tt0298814,movie,The Core,The Core,0,2003,\N,135,"Action,Adventure,Sci-Fi",5.5,93966
tt1235166,movie,A Prophet,Un prophète,0,2009,\N,155,"Crime,Drama",7.9,93941
tt1017460,movie,Splice,Splice,0,2009,\N,104,"Drama,Horror,Sci-Fi",5.7,93941
tt0099700,movie,Gremlins 2: The New Batch,Gremlins 2: The New Batch,0,1990,\N,106,"Comedy,Fantasy,Horror",6.4,93862
tt3381008,movie,The Brothers Grimsby,Grimsby,0,2016,\N,83,"Action,Adventure,Comedy",6.2,93835
tt0106611,movie,Cool Runnings,Cool Runnings,0,1993,\N,98,"Adventure,Comedy,Family",7.0,93806
tt0337921,movie,Cellular,Cellular,0,2004,\N,94,"Action,Crime,Thriller",6.5,93651
tt1602620,movie,Amour,Amour,0,2012,\N,127,"Drama,Romance",7.9,93644
tt0395584,movie,The Devil's Rejects,The Devil's Rejects,0,2005,\N,107,Horror,6.8,93619
tt0386140,movie,The Legend of Zorro,The Legend of Zorro,0,2005,\N,129,"Action,Adventure,Romance",6.0,93573
tt0124315,movie,The Cider House Rules,The Cider House Rules,0,1999,\N,126,"Drama,Romance",7.4,93511
tt0127536,movie,Elizabeth,Elizabeth,0,1998,\N,124,"Biography,Drama,History",7.4,93503
tt0082010,movie,An American Werewolf in London,An American Werewolf in London,0,1981,\N,97,"Comedy,Horror",7.5,93500
tt0056193,movie,Lolita,Lolita,0,1962,\N,153,"Crime,Drama,Romance",7.6,93442
tt0163187,movie,Runaway Bride,Runaway Bride,0,1999,\N,116,"Comedy,Romance",5.6,93378
tt1179056,movie,A Nightmare on Elm Street,A Nightmare on Elm Street,0,2010,\N,95,"Crime,Drama,Horror",5.2,93373
tt0364970,movie,Babylon A.D.,Babylon A.D.,0,2008,\N,90,"Action,Adventure,Sci-Fi",5.6,93372
tt0102266,movie,The Last Boy Scout,The Last Boy Scout,0,1991,\N,105,"Action,Comedy,Crime",7.0,93277
tt0490204,movie,Reign Over Me,Reign Over Me,0,2007,\N,124,Drama,7.4,93229
tt0107206,movie,In the Line of Fire,In the Line of Fire,0,1993,\N,128,"Action,Crime,Drama",7.2,93170
tt4572514,movie,Patriots Day,Patriots Day,0,2016,\N,133,"Action,Crime,Drama",7.4,93121
tt0090555,movie,Crocodile Dundee,Crocodile Dundee,0,1986,\N,97,"Action,Adventure,Comedy",6.6,93118
tt4846232,movie,Good Time,Good Time,0,2017,\N,102,"Crime,Drama,Thriller",7.4,93037
tt0082398,movie,For Your Eyes Only,For Your Eyes Only,0,1981,\N,127,"Action,Adventure,Thriller",6.7,92952
tt0114924,movie,While You Were Sleeping,While You Were Sleeping,0,1995,\N,103,"Comedy,Drama,Romance",6.7,92894
tt1781769,movie,Anna Karenina,Anna Karenina,0,2012,\N,129,"Drama,Romance",6.6,92787
tt0038787,movie,Notorious,Notorious,0,1946,\N,102,"Drama,Film-Noir,Romance",7.9,92755
tt0892318,movie,Letters to Juliet,Letters to Juliet,0,2010,\N,105,"Adventure,Comedy,Drama",6.5,92733
tt0171804,movie,Boys Don't Cry,Boys Don't Cry,0,1999,\N,118,"Biography,Crime,Drama",7.5,92684
tt4465564,movie,Fifty Shades Darker,Fifty Shades Darker,0,2017,\N,118,"Drama,Romance",4.6,92670
tt6394270,movie,Bombshell,Bombshell,0,2019,\N,109,"Biography,Drama",6.8,92667
tt0318649,movie,Sahara,Sahara,0,2005,\N,124,"Action,Adventure,Comedy",6.0,92629
tt1045778,movie,Year One,Year One,0,2009,\N,97,Comedy,4.9,92547
tt0087884,movie,"Paris, Texas","Paris, Texas",0,1984,\N,145,Drama,8.1,92540
tt4682786,movie,Collateral Beauty,Collateral Beauty,0,2016,\N,97,"Drama,Romance",6.8,92437
tt2224026,movie,Home,Home,0,2015,\N,94,"Adventure,Animation,Comedy",6.6,92420
tt3794354,movie,Sonic the Hedgehog,Sonic the Hedgehog,0,2020,\N,99,"Action,Adventure,Comedy",6.5,92304
tt2980592,movie,The Guest,The Guest,0,2014,\N,100,"Action,Mystery,Thriller",6.7,92291
tt0138524,movie,Intolerable Cruelty,Intolerable Cruelty,0,2003,\N,100,"Comedy,Crime,Romance",6.2,92073
tt1232200,movie,That's My Boy,That's My Boy,0,2012,\N,116,Comedy,5.5,92041
tt0174856,movie,The Hurricane,The Hurricane,0,1999,\N,146,"Biography,Drama,Sport",7.6,92041
tt0480255,movie,The Losers,The Losers,0,2010,\N,97,"Action,Adventure,Crime",6.3,92035
tt0418819,movie,Land of the Dead,Land of the Dead,0,2005,\N,93,"Horror,Sci-Fi,Thriller",6.2,92028
tt1440728,movie,The American,The American,0,2010,\N,105,"Crime,Drama,Thriller",6.3,91978
tt0079574,movie,Moonraker,Moonraker,0,1979,\N,126,"Action,Adventure,Sci-Fi",6.3,91962
tt0122718,movie,Small Soldiers,Small Soldiers,0,1998,\N,108,"Action,Adventure,Comedy",6.2,91954
tt0313542,movie,Runaway Jury,Runaway Jury,0,2003,\N,127,"Crime,Drama,Thriller",7.1,91883
tt1675192,movie,Take Shelter,Take Shelter,0,2011,\N,121,"Drama,Horror,Sci-Fi",7.4,91867
